name,longitude,latitude,source
bradypus_variegatus,-79.85,9.25,de Moraes-Barros 2011
bradypus_variegatus,-79.9333,9.25,Anderson and Handley 2001
bradypus_variegatus,-79.9833,9.25,Anderson and Handley 2001
bradypus_variegatus,-82.2667,9.25,de Moraes-Barros 2011
bradypus_variegatus,-79.6,9.2833,Anderson and Handley 2001
bradypus_variegatus,-75.4,9.3,Anderson and Handley 2001
bradypus_variegatus,-82.4,9.3,Anderson and Handley 2001
bradypus_variegatus,-82.5167,9.45,Anderson and Handley 2001
bradypus_variegatus,-75.35,9.5,Anderson and Handley 2001
bradypus_variegatus,-82.7833,9.6,Anderson and Handley 2001
bradypus_variegatus,-83.6333,9.8833,Anderson and Handley 2001
bradypus_variegatus,-83.5667,9.9167,Anderson and Handley 2001
bradypus_variegatus,-75.0667,9.9667,Anderson and Handley 2001
bradypus_variegatus,-73.4333,10.15,Anderson and Handley 2001
bradypus_variegatus,-74,10.3,Anderson and Handley 2001
bradypus_variegatus,-84.5,10.3333,Anderson and Handley 2001
bradypus_variegatus,-65.8333,10.3667,de Moraes-Barros 2011
bradypus_variegatus,-67.6833,10.3667,Anderson and Handley 2001
bradypus_variegatus,-66.8333,10.3667,Anderson and Handley 2001
bradypus_variegatus,-68.3833,10.5333,Anderson and Handley 2001
bradypus_variegatus,-84.0167,10.6333,Anderson and Handley 2001
bradypus_variegatus,-83.7,10.9333,Anderson and Handley 2001
bradypus_variegatus,-84.4333,12.15,Anderson and Handley 2001
bradypus_variegatus,-83.7667,12.15,Anderson and Handley 2001
bradypus_variegatus,-71.3167,12.35,Anderson and Handley 2001
bradypus_variegatus,-85.9333,13.1833,Anderson and Handley 2001
bradypus_variegatus,-84.5333,13.95,Anderson and Handley 2001
bradypus_variegatus,-60.9667,2.3667,de Moraes-Barros 2007
bradypus_variegatus,-63.667,1.5667,de Moraes-Barros 2008
bradypus_variegatus,-78.1667,-4.45,de Moraes-Barros 2008
bradypus_variegatus,-55.5,-3.65,de Moraes-Barros 2008
bradypus_variegatus,-54.7,-2.41667,de Moraes-Barros 2008
bradypus_variegatus,-52.2,-3.18333,de Moraes-Barros 2008
bradypus_variegatus,-47.61667,-1.11667,de Moraes-Barros 2008
bradypus_variegatus,-47.91667,-1.28333,de Moraes-Barros 2008
bradypus_variegatus,-48.1667,-0.85,de Moraes-Barros 2008
bradypus_variegatus,-48.21667,-1.4667,de Moraes-Barros 2008
bradypus_variegatus,-74.17,-4.47,Silva 2018
bradypus_variegatus,-68.52,-10.65,Silva 2018
bradypus_variegatus,-68.72,-11,Silva 2018
bradypus_variegatus,-67.8,-9.97,Silva 2018
bradypus_variegatus,-40.3,-3.67,Silva 2018
bradypus_variegatus,-35.12,-6.83,Silva 2018
bradypus_variegatus,-34.86,-7.13,Silva 2018
bradypus_variegatus,-35.12,-7.83,Silva 2018
bradypus_variegatus,-34.9,-8.05,Silva 2018
bradypus_variegatus,-34.88,-7.95,Silva 2018
bradypus_variegatus,-34.9,-7.83,Silva 2018
bradypus_variegatus,-35.72,-9.67,Silva 2018
bradypus_variegatus,-35.93,-9.6,Silva 2018
bradypus_variegatus,-39.1,-16.4,Silva 2018
bradypus_variegatus,-38.98,-12.53,Silva 2018
bradypus_variegatus,-39.03,-14.82,Silva 2018
bradypus_variegatus,-39.03,-16.28,Silva 2018
bradypus_variegatus,-41.5,-17.85,Silva 2018
bradypus_variegatus,-46.6,-23.5,Silva 2018
bradypus_variegatus,-46.22,-23.48,Silva 2018
bradypus_variegatus,-46.5,-23.5,Silva 2018
bradypus_variegatus,-46.63,-23.52,Silva 2018
bradypus_variegatus,-46.75,-23.6,Silva 2018
bradypus_variegatus,-46.65,-23.42,Silva 2018
bradypus_variegatus,-47.45,-23.48,Silva 2018
bradypus_variegatus,-46.35,-23.95,Silva 2018
bradypus_variegatus,-46.32,-23.93,Silva 2018
bradypus_variegatus,-46.4,-24,Silva 2018
bradypus_variegatus,-45.35,-23.77,Silva 2018
bradypus_variegatus,-47.02,-24.37,Silva 2018
bradypus_variegatus,-46.53,-24.03,Silva 2018
bradypus_variegatus,-45.38,-23.33,Silva 2018
bradypus_variegatus,-46.62,-24.08,Silva 2018
bradypus_variegatus,-46.75,-23.27,Silva 2018
bradypus_variegatus,-46.83,-23.72,Silva 2018
bradypus_variegatus,-46.6,-23.6,Silva 2018
bradypus_variegatus,-46.7,-23.9,Silva 2018
bradypus_variegatus,-46.6,-23.3,Silva 2018
bradypus_variegatus,-46.55,-23.7,Silva 2018
bradypus_variegatus,-47.45,-24.28,Silva 2018
bradypus_variegatus,-46.7,-23.58,Silva 2018
bradypus_variegatus,-46.77,-23.45,Silva 2018
bradypus_variegatus,-46.63,-23.52,Silva 2018
bradypus_variegatus,-46.62,-23.53,Silva 2018
bradypus_variegatus,-46.75,-23.42,Silva 2018
bradypus_variegatus,-47.35,-23.63,Silva 2018
bradypus_variegatus,-46.33,-23.4,Silva 2018
bradypus_variegatus,-46.63,-23.8,Silva 2018
